jornal,ano,paginas,paginas_caixa,paginas_roth,paginas_roth_e_caixa,pg_banco_ingles,pg_banco_ingles_e_caixa,pg_banque_paris,pg_banque_paris_e_caixa,pg_banqueiros_generico,pg_banqueiros_generico_e_caixa,pg_baring,pg_baring_e_caixa,pg_credit_lyonnais,pg_credit_lyonnais_e_caixa,pg_deutsche_bank,pg_deutsche_bank_e_caixa,pg_dresdner,pg_dresdner_e_caixa,pg_emprestimo_externo,pg_emprestimo_externo_e_caixa,pg_funding,pg_funding_e_caixa,pg_london_brazilian,pg_london_brazilian_e_caixa,pg_praca_londres,pg_praca_londres_e_caixa,pg_schroder,pg_schroder_e_caixa,pg_speyer,pg_speyer_e_caixa
Correio Paulistano,1906,2074,116,33,3,42,7,4,0,3,1,3,0,0,0,2,0,0,0,4,1,13,4,21,1,0,0,1,1,0,0
Correio Paulistano,1907,2183,152,68,8,20,4,5,1,1,1,0,0,1,0,19,2,4,1,31,3,64,0,8,3,1,0,3,0,0,0
Correio Paulistano,1908,1688,220,60,9,12,2,3,1,5,3,2,1,1,1,21,0,0,0,20,8,18,2,1,0,0,0,3,0,0,0
Correio Paulistano,1909,2586,276,82,9,15,0,1,0,3,2,6,2,1,0,16,3,1,0,63,2,9,2,11,0,1,0,2,0,0,0
Correio Paulistano,1910,2800,268,93,22,11,1,1,0,7,4,2,0,0,0,24,7,1,0,45,6,13,5,38,4,3,2,3,0,0,0
Correio Paulistano,1911,3556,227,95,9,12,1,3,0,2,0,3,0,0,0,19,4,2,0,40,4,29,10,13,2,0,0,2,0,1,1
Correio Paulistano,1912,3904,200,63,6,8,2,0,0,7,2,1,0,2,0,18,2,1,0,87,2,10,0,5,1,0,0,1,0,1,1
Correio Paulistano,1913,4064,87,59,1,4,0,2,0,9,2,5,0,0,0,47,7,0,0,110,2,46,0,29,0,1,0,1,0,0,0
Correio Paulistano,1914,3168,221,30,4,12,1,1,0,15,9,1,0,0,0,70,11,2,1,74,7,58,7,34,2,3,0,3,0,0,0
Correio da Manhã,1906,2690,133,6,2,4,2,1,0,6,2,0,0,1,0,6,0,1,0,14,4,3,2,1,0,2,0,0,0,0,0
Correio da Manhã,1907,2958,200,17,6,2,1,1,0,2,1,0,0,1,0,2,2,0,0,8,1,1,1,1,0,3,0,0,0,0,0
Correio da Manhã,1908,3298,59,5,2,2,0,0,0,3,0,3,1,0,0,5,0,0,0,9,0,3,0,0,0,1,0,1,0,0,0
