distancia_chars,jornal,ano,objeto,pagina,marcadores,chars_pagina
11,Correio Paulistano,1911,per090972_1911_17196,p004,financeiro,43884
25,Correio Paulistano,1911,per090972_1911_17069,p002,financeiro,38172
41,Correio Paulistano,1911,per090972_1911_17064,p002,financeiro,43852
71,Gazeta de Notícias,1907,per103730_1907_00210,p001,,44138
86,Gazeta de Notícias,1911,per103730_1911_00052,p001,,36695
120,Correio Paulistano,1910,per090972_1910_16772,p001,financeiro,39380
164,Correio da Manhã,1910,per089842_1910_03381,p001,,42545
178,Correio Paulistano,1913,per090972_1913_18019,p004,financeiro,44496
191,Correio Paulistano,1914,per090972_1914_18346,p003,,41991
262,Correio Paulistano,1910,per090972_1910_16738,p001,,38380
278,Correio da Manhã,1907,per089842_1907_04030,p002,,50489
306,Correio Paulistano,1914,per090972_1914_18334,p003,,40382
311,Correio Paulistano,1910,per090972_1910_16786,p001,,42299
349,O Paiz,1913,per178691_1913_10404,p006,,43219
385,O Paiz,1911,per178691_1911_09852,p002,,34916
438,Gazeta de Notícias,1906,per103730_1906_00278,p001,financeiro,38820
455,Correio Paulistano,1909,per090972_1909_16598,p004,financeiro,32456
469,Correio da Manhã,1913,per089842_1913_05446,p004,,58056
507,Correio da Manhã,1907,per089842_1907_02305,p001,financeiro,45641
509,Correio Paulistano,1907,per090972_1907_15826,p003,financeiro,39731
518,Correio Paulistano,1912,per090972_1912_17426,p002,financeiro,34119
599,Correio da Manhã,1914,per089842_1914_05746,p001,,32776
762,Correio Paulistano,1907,per090972_1907_15757,p001,financeiro,40788
883,O Paiz,1914,per178691_1914_10907,p003,financeiro,46328
976,Correio Paulistano,1910,per090972_1910_16798,p001,financeiro,39099
1033,O Paiz,1909,per178691_1909_09024,p002,,43118
1075,Correio da Manhã,1907,per089842_1907_02044,p001,financeiro,44657
1079,Correio Paulistano,1912,per090972_1912_17664,p001,financeiro,31332
1087,Correio da Manhã,1910,per089842_1910_03391,p003,financeiro,45560
1192,Correio Paulistano,1910,per090972_1910_16988,p003,financeiro,43882
1225,O Paiz,1911,per178691_1911_09623,p001,financeiro,32588
1331,Correio da Manhã,1909,per089842_1909_02899,p001,,48512
1527,Correio Paulistano,1910,per090972_1910_16733,p003,,36062
1594,O Paiz,1906,per178691_1906_08032,p001,financeiro,33764
1841,O Paiz,1908,per178691_1908_08820,p001,financeiro,27046
1959,O Paiz,1910,per178691_1910_09532,p006,,40462
1992,O Paiz,1913,per178691_1913_10519,p007,turfe,33325
2228,Correio Paulistano,1907,per090972_1907_15715,p002,,45886
2305,O Paiz,1914,per178691_1914_11042,p006,financeiro,43243
2316,O Paiz,1908,per178691_1908_08816,p001,financeiro,32965
2374,O Paiz,1911,per178691_1911_09706,p007,financeiro,35066
2403,Correio Paulistano,1911,per090972_1911_17268,p002,,41620
2469,Correio Paulistano,1911,per090972_1911_17234,p002,financeiro,41344
2612,Correio Paulistano,1910,per090972_1910_16704,p002,financeiro,34053
2648,Correio da Manhã,1906,per089842_1906_01906,p005,financeiro,47748
2739,Correio da Manhã,1911,per089842_1911_03809,p001,financeiro,39682
2779,O Paiz,1911,per178691_1911_09635,p001,financeiro,32327
2885,O Paiz,1907,per178691_1907_08273,p001,financeiro,38869
2934,Correio da Manhã,1908,per089842_1908_02570,p001,financeiro,41560
2935,O Paiz,1907,per178691_1907_08227,p005,financeiro,46732
3019,Correio da Manhã,1909,per089842_1909_03058,p001,,49892
3115,Correio da Manhã,1913,per089842_1913_05190,p001,financeiro,41203
3260,Correio Paulistano,1910,per090972_1910_16737,p001,,39305
3438,O Paiz,1908,per178691_1908_08722,p001,,30411
3605,Correio Paulistano,1911,per090972_1911_17252,p002,financeiro,42103
3733,O Paiz,1913,per178691_1913_10537,p006,turfe,47529
3776,Correio Paulistano,1907,per090972_1907_15641,p002,,46936
3833,Correio Paulistano,1914,per090972_1914_18210,p004,financeiro,41504
4629,Correio da Manhã,1913,per089842_1913_05340,p001,,44278
4671,Correio da Manhã,1907,per089842_1907_02097,p001,,41721
5002,O Paiz,1913,per178691_1913_10582,p023,turfe,42014
5081,O Paiz,1907,per178691_1907_08331,p002,financeiro,45691
5124,Correio da Manhã,1913,per089842_1913_05205,p001,financeiro,40379
5547,Correio Paulistano,1910,per090972_1910_16852,p001,financeiro,37740
5600,O Paiz,1913,per178691_1913_10595,p001,financeiro,36433
5681,Correio Paulistano,1910,per090972_1910_16792,p001,,42439
5698,Correio da Manhã,1913,per089842_1913_05347,p001,,42918
5699,Correio da Manhã,1913,per089842_1913_05212,p001,financeiro,40552
5863,O Paiz,1909,per178691_1909_08938,p002,financeiro,42439
6314,Correio Paulistano,1912,per090972_1912_17461,p002,financeiro,42849
6377,Correio Paulistano,1910,per090972_1910_16735,p001,,40311
6449,Correio Paulistano,1910,per090972_1910_16726,p001,financeiro,46173
6639,Correio da Manhã,1906,per089842_1906_01911,p001,,43118
6677,O Paiz,1913,per178691_1913_10424,p001,financeiro,36631
6821,Correio Paulistano,1910,per090972_1910_16704,p001,financeiro,39137
6831,O Paiz,1913,per178691_1913_10412,p011,turfe,39581
6877,Correio Paulistano,1910,per090972_1910_16739,p002,financeiro,37289
7048,Gazeta de Notícias,1912,per103730_1912_00003,p003,,38347
7062,Correio Paulistano,1907,per090972_1907_15638,p002,,44351
7227,Correio Paulistano,1911,per090972_1911_17033,p001,,42673
7618,Correio Paulistano,1912,per090972_1912_17459,p002,financeiro,41194
7808,Gazeta de Notícias,1910,per103730_1910_00321,p001,,46378
7832,Gazeta de Notícias,1909,per103730_1909_00168,p003,"obituario,financeiro",42863
7949,O Paiz,1913,per178691_1913_10383,p001,financeiro,37982
8007,Correio Paulistano,1909,per090972_1909_16492,p001,passageiros,37227
8147,Correio Paulistano,1907,per090972_1907_15902,p003,obituario,41070
8201,O Paiz,1909,per178691_1909_08986,p002,,41106
8249,Correio da Manhã,1913,per089842_1913_05238,p002,financeiro,47702
8648,Correio Paulistano,1908,per090972_1908_16272,p004,,44531
8681,O Paiz,1907,per178691_1907_08197,p001,financeiro,40629
8709,O Paiz,1909,per178691_1909_08904,p002,,44989
8916,Correio Paulistano,1910,per090972_1910_16696,p001,,39309
8951,Gazeta de Notícias,1910,per103730_1910_00184,p005,financeiro,49517
9056,O Paiz,1912,per178691_1912_10070,p008,,35629
9165,O Paiz,1911,per178691_1911_09601,p002,financeiro,41070
9649,Correio Paulistano,1910,per090972_1910_16922,p001,turfe,37945
9726,Gazeta de Notícias,1911,per103730_1911_00130,p011,,45485
10154,Correio da Manhã,1913,per089842_1913_05358,p001,,46238
10312,O Paiz,1910,per178691_1910_09254,p001,,29803
10374,Correio Paulistano,1906,per090972_1906_15477,p002,,43679
10402,Gazeta de Notícias,1911,per103730_1911_00078,p009,,46533
10740,Gazeta de Notícias,1909,per103730_1909_00346,p001,,40576
10793,Correio Paulistano,1908,per090972_1908_16096,p002,financeiro,38097
11349,Correio Paulistano,1912,per090972_1912_17721,p006,financeiro,43440
11437,O Paiz,1909,per178691_1909_09027,p002,financeiro,47988
11449,Correio Paulistano,1910,per090972_1910_16707,p001,financeiro,35740
11504,Correio da Manhã,1913,per089842_1913_05221,p001,financeiro,35635
11986,Correio da Manhã,1907,per089842_1907_02273,p002,,50935
12721,Correio Paulistano,1910,per090972_1910_16937,p002,,43707
12813,O Paiz,1911,per178691_1911_09695,p009,,44130
12900,O Paiz,1909,per178691_1909_08856,p002,financeiro,42534
13530,Correio Paulistano,1914,per090972_1914_18251,p002,,46597
13763,Correio Paulistano,1909,per090972_1909_16401,p001,,37425
13786,Correio Paulistano,1906,per090972_1906_15456,p001,financeiro,35073
13792,Correio Paulistano,1911,per090972_1911_17173,p003,,42774
