source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per089842_1911_03454,1,ok,17726,7b5679d5e3b6a3bc12dfd1ee7ca8c401f8ace992f72d76fc515989ed71c86b65,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p001.txt
per089842_1911_03454,2,ok,37156,8dcc0b3fca2ddc91fafcf69b4b5e069214691fbca6fd7621c17375e693c5c1e8,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p002.txt
per089842_1911_03454,3,ok,43845,4babdaad6f3077cf320cf47cc0eb9154347866c5929a016bb26ce006ac575b50,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p003.txt
per089842_1911_03454,4,ok,39411,81e645a1215edcc0eb6e1efade125a7df85700fc6f0a0971bc7556d0d0907321,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p004.txt
per089842_1911_03454,5,ok,42539,7fab9613950f4ddccb93107f94590a75ea662c7972a1449f65f4f3ad7f8344e7,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p005.txt
per089842_1911_03454,6,ok,22575,c41bc36681c1569eadea3bc53062741e12732c12b1c84ced910e8c0fd284dc7b,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p006.txt
per089842_1911_03454,7,ok,24264,13b0a49e9dfec03eb221d26026ee9a2ac471713a89ad9c592a915db829fb9b5d,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p007.txt
per089842_1911_03454,8,ok,24908,1b73a24042b4d8703b21e330e05ea5a4e430f8a7b7ed534d71b75f04a405c8ee,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p008.txt
per089842_1911_03454,9,ok,10841,bc68c94f5c4fa5d10cae560d40ca94a08afc7cd7fdabf6d315c169666d1afe7d,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p009.txt
per089842_1911_03454,10,ok,24036,e5bf6ec88887c7fb44b5db5747389d1adfe272e5faaf6ba8d50a649a06c3e7b6,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p010.txt
per089842_1911_03454,11,ok,22572,81ae9b1925ab97753d532032419bd127c00cbf947dad03c626d57010c92c1c5f,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p011.txt
per089842_1911_03454,12,ok,8587,916f60d3d92ccb5750108154438e8fed87fef34e0d95b8f4e06ff0a00dc36fb9,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p012.txt
per089842_1911_03454,13,ok,2271,06c218c9cf0664de2cf452a6197d91b635edf48b89e8c6f84f9193d009d1d919,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p013.txt
per089842_1911_03454,14,ok,8544,96b9e69190b509aaac4b32f5916fab85d64c4b1ab82a6547dfeb3e182aab4c6f,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p014.txt
per089842_1911_03454,15,ok,7600,5cf96c74ef19704fd4fc16e8e9f2a4dfbf30f1d044354f618007486b26ea4129,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p015.txt
per089842_1911_03454,16,ok,25905,ad4746bd774b8f7d9d488cd82fc740fa4e697384a54d67f2799d68298024d5f4,a562828ff694bf25d2df58a487793fd291294f57d133f75bb582b231de4c55a3,089842/per089842_1911_03454/p016.txt
per089842_1911_03455,1,ok,43962,86c425b022c03572c35910d76ed9043abb95e6e1a7efac97d41cb37db3fcc891,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p001.txt
per089842_1911_03455,2,ok,46598,da94bf1bcaf7f847389d67a49dfe3452ac8d7fd328d980a8c67c5365d965316b,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p002.txt
per089842_1911_03455,3,ok,44812,d3cd7fcebb6665c3b5bc240255a20008762084e2c7076fafc2ebd81b811273fa,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p003.txt
per089842_1911_03455,4,ok,49464,db5b040861e4ae760d04ec3729509367c94df084bf54d053417a3a204000bb14,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p004.txt
per089842_1911_03455,5,ok,42392,bb55d656f2d2dd0ed03fb06f8e1ce64eef03f8fdc656e232498fbfa5b4867cf1,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p005.txt
per089842_1911_03455,6,ok,38692,4979e223f35421ff9f15836c431f91266c26bf38e228c69cc2e15b0c6c515ae7,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p006.txt
per089842_1911_03455,7,ok,42002,f5a8a743ca62f293f3147611ffc05f4d269e8e4f6988b667d59a801e4606c1fd,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p007.txt
per089842_1911_03455,8,ok,20740,26c8ee0439188bccc046ef3c3a6562ef87d5db93150a22ec098295fcd92c7338,7d016f81f38fd3ff511466038841821b6a2d8126188519bc6bdf48119b2c7975,089842/per089842_1911_03455/p008.txt
