bib,source_identifier,page_number,hit,n_matches,primeiro_span_texto,primeiro_span_offset,regra_versao,extraction_run_id,result_status
178691,per178691_1912_09948,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09948,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,5,1,1,caixa de conver,11151,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09949,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,2,1,1,caixa deconver,39224,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09950,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09951,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,2,1,1,caixa de conver,32030,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,3,1,1,caixa de conver,4758,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,5,1,1,caixa de conver,1086,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09952,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,2,1,2,caixade conver,23170,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,11,1,1,caixa de conver,8089,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,13,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,14,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,15,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09953,16,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09954,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09955,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,10,1,1,caixa de conver,23203,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,13,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09956,14,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09957,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09957,2,1,1,caixa de conver,26667,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09957,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09957,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
178691,per178691_1912_09957,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,33,ok
